0,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
1,0,0,-1.98,5.59,7.17,-3.0625,-29.5,-31.25,-0.15888888888888889,-0.8533333333333334,0.8333333333333334,109.875,-22.3125,-36.8125,143753216.0,90685440.0,-33931264.0,-204980224.0,1.74,0.15,-0.08,-3.73,5.44,7.25
2,10.065,10,-1.85,5.41,6.89,-3.0625,-29.5,-31.25,-0.17888888888888888,-0.8544444444444445,0.8222222222222222,109.5625,-21.6875,-36.75,144490496.0,89587712.0,-34701312.0,-204816384.0,1.77,-0.04,-0.39,-3.62,5.45,7.29
3,18.957,8,-1.7,5.2,6.55,-3.0625,-29.5,-31.25,-0.18777777777777777,-0.8311111111111111,0.8377777777777777,109.25,-21.0625,-36.6875,145244160.0,88506368.0,-35438592.0,-204619776.0,1.82,-0.26,-0.77,-3.52,5.47,7.33
4,27.921000000000003,8,-1.63,4.97,6.11,-3.0625,-29.5,-31.25,-0.14444444444444443,-0.7944444444444444,0.8933333333333333,108.875,-20.4375,-36.6875,146046976.0,87490560.0,-36225024.0,-204357632.0,1.79,-0.51,-1.25,-3.42,5.49,7.36
5,37.403,9,-1.59,5.0,6.03,-3.0625,-29.5,-31.25,0.0044444444444444444,-0.75,0.9911111111111112,108.4375,-19.75,-36.75,146882560.0,86589440.0,-37158912.0,-203980800.0,1.72,-0.52,-1.35,-3.32,5.52,7.39
6,50.86,13,-1.51,5.11,6.12,-6.0625,-28.375,-31.5625,0.28,-0.7277777777777777,1.1466666666666667,107.875,-19.0625,-37.0,147898368.0,85901312.0,-38338560.0,-203309056.0,1.69,-0.46,-1.27,-3.21,5.58,7.39
7,59.27,8,-1.28,5.78,6.48,-6.0625,-28.375,-31.5625,0.6422222222222222,-0.7422222222222222,1.35,107.375,-18.3125,-37.4375,148799488.0,85393408.0,-40042496.0,-202539008.0,1.79,0.11,-0.9,-3.08,5.66,7.38
8,68.125,8,-1.22,6.35,6.68,-6.0625,-28.375,-31.5625,1.0522222222222222,-0.8,1.5866666666666667,106.75,-17.4375,-38.1875,149749760.0,85049344.0,-42254336.0,-201523200.0,1.71,0.57,-0.66,-2.94,5.78,7.35
9,77.53,9,-1.11,6.65,6.85,-6.0625,-28.375,-31.5625,1.4544444444444444,-0.8844444444444445,1.8244444444444445,106.0625,-16.4375,-39.125,150716416.0,84869120.0,-45006848.0,-200278016.0,1.66,0.71,-0.44,-2.78,5.93,7.29
10,87.40100000000001,9,-0.89,6.78,6.91,-6.0625,-28.375,-31.5625,1.6944444444444444,-0.95,2.002222222222222,105.3125,-15.375,-40.1875,151715840.0,84738048.0,-48103424.0,-198852608.0,1.7,0.67,-0.31,-2.6,6.1,7.22
11,100.737,13,-0.7,7.63,6.83,-10.5,-28.0625,-30.875,1.69,-0.9677777777777777,2.0844444444444443,104.4375,-14.1875,-41.25,152829952.0,84574208.0,-51216384.0,-197296128.0,1.7,1.36,-0.31,-2.41,6.26,7.14
12,109.749,9,-0.68,7.96,6.64,-10.5,-28.0625,-30.875,1.4233333333333333,-0.92,2.082222222222222,103.625,-13.0625,-42.125,153976832.0,84230144.0,-54050816.0,-195788800.0,1.53,1.55,-0.43,-2.22,6.41,7.07
13,118.662,8,-0.67,8.14,6.4,-10.5,-28.0625,-30.875,0.89,-0.7977777777777778,2.028888888888889,102.75,-12.0,-42.75,155287552.0,83623936.0,-56279040.0,-194379776.0,1.36,1.63,-0.63,-2.04,6.51,7.04
14,127.48300000000002,8,-0.92,7.98,6.02,-10.5,-28.0625,-30.875,0.2288888888888889,-0.6266666666666667,1.948888888888889,101.8125,-11.0625,-42.9375,156827648.0,82690048.0,-57720832.0,-193118208.0,0.95,1.41,-1.01,-1.88,6.56,7.03
