,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
1,0,0,8.92,3.61,0.77,-19.375,8.375,-41.25,-0.0033333333333333335,0.056666666666666664,0.0,358.25,67.875,-79.375,196231168.0,70402048.0,-169066496.0,2932736.0,-0.15,-0.01,0.09,9.08,3.62,0.67
2,8.16,8,8.99,3.57,0.78,-19.375,8.375,-41.25,0.03111111111111111,0.06111111111111111,-0.0033333333333333335,358.25,67.875,-79.3125,196280320.0,70434816.0,-169017344.0,2981888.0,-0.08,-0.04,0.1,9.08,3.62,0.68
3,17.576,9,8.98,3.55,0.78,-19.375,8.375,-41.25,0.06111111111111111,0.06666666666666667,-0.014444444444444444,358.1875,67.875,-79.25,196313088.0,70500352.0,-168935424.0,3031040.0,-0.09,-0.07,0.09,9.08,3.62,0.68
4,27.445,9,8.97,3.53,0.76,-19.375,8.375,-41.25,0.09111111111111111,0.0811111111111111,-0.028888888888888888,358.125,67.8125,-79.1875,196345856.0,70598656.0,-168853504.0,3112960.0,-0.11,-0.09,0.07,9.08,3.63,0.68
5,37.492,10,8.99,3.49,0.74,-19.375,8.375,-41.25,0.12111111111111111,0.1,-0.04,358.125,67.8125,-79.125,196395008.0,70746112.0,-168738816.0,3211264.0,-0.08,-0.14,0.05,9.08,3.63,0.69
6,49.61,12,9.02,3.5,0.71,-20.1875,8.75,-42.0,0.15666666666666668,0.11888888888888889,-0.051111111111111114,358.0,67.75,-79.0625,196444160.0,70926336.0,-168607744.0,3325952.0,-0.05,-0.13,0.01,9.07,3.63,0.69
7,58.01,8,9.03,3.52,0.66,-20.1875,8.75,-42.0,0.19777777777777777,0.1411111111111111,-0.05555555555555555,357.9375,67.75,-79.0,196476928.0,71155712.0,-168443904.0,3489792.0,-0.03,-0.12,-0.03,9.07,3.64,0.7
8,67.008,8,9.04,3.54,0.68,-20.1875,8.75,-42.0,0.2411111111111111,0.16111111111111112,-0.056666666666666664,357.8125,67.6875,-78.9375,196526080.0,71417856.0,-168280064.0,3686400.0,-0.02,-0.1,-0.02,9.07,3.65,0.71
9,77.554,10,9.08,3.61,0.73,-20.1875,8.75,-42.0,0.2833333333333333,0.17555555555555555,-0.051111111111111114,357.6875,67.625,-78.875,196575232.0,71729152.0,-168099840.0,3915776.0,0.01,-0.03,0.02,9.07,3.65,0.71
