,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
0,0.0,0,0.52,10.49,0.89,-12.6875,-38.6875,15.25,-0.16,-0.13444444444444445,-0.28,149.1875,8.5,-89.6875,50462720.0,22544384.0,-187973632.0,-183484416.0,-0.92,0.79,0.84,1.45,9.69,0.04
1,13.254999999999999,13,0.5,10.47,0.95,-12.6875,-38.6875,15.25,-0.21333333333333335,-0.09888888888888889,-0.27666666666666667,149.4375,8.375,-89.5625,50151424.0,22659072.0,-187793408.0,-183746560.0,-0.92,0.77,0.88,1.43,9.7,0.06
2,23.95,10,0.47,10.4,1.02,-12.6875,-38.6875,15.25,-0.27444444444444444,-0.07333333333333333,-0.27555555555555555,149.625,8.1875,-89.4375,49872896.0,22773760.0,-187531264.0,-184074240.0,-0.92,0.7,0.93,1.4,9.7,0.09
3,34.282,10,0.37,10.35,1.1,-12.6875,-38.6875,15.25,-0.31666666666666665,-0.04555555555555556,-0.2722222222222222,149.875,8.0625,-89.25,49627136.0,22904832.0,-187236352.0,-184418304.0,-1.0,0.64,0.98,1.37,9.7,0.12
4,44.467,10,0.22,10.35,1.29,-12.6875,-38.6875,15.25,-0.3488888888888889,-0.02666666666666667,-0.27666666666666667,150.0625,7.875,-89.0625,49397760.0,23052288.0,-186908672.0,-184795136.0,-1.12,0.64,1.13,1.35,9.71,0.15
5,57.394,12,0.08,10.31,1.39,-11.1875,-37.5625,18.5625,-0.38,-0.005555555555555556,-0.2822222222222222,150.5625,7.75,-88.875,48676864.0,22691840.0,-186613760.0,-185335808.0,-1.23,0.59,1.21,1.32,9.71,0.18
6,65.637,8,-0.07,10.34,1.53,-11.1875,-37.5625,18.5625,-0.4122222222222222,0.012222222222222223,-0.2866666666666667,150.6875,7.625,-88.625,48480256.0,22855680.0,-186204160.0,-185761792.0,-1.38,0.62,1.31,1.3,9.71,0.22
7,74.17,8,-0.28,10.53,1.73,-11.1875,-37.5625,18.5625,-0.4411111111111111,0.024444444444444446,-0.28555555555555556,150.875,7.4375,-88.375,48300032.0,23035904.0,-185778176.0,-186220544.0,-1.56,0.81,1.47,1.27,9.71,0.26
8,84.111,9,-0.39,10.62,1.88,-11.1875,-37.5625,18.5625,-0.45555555555555555,0.03777777777777778,-0.27666666666666667,151.0625,7.3125,-88.125,48136192.0,23199744.0,-185335808.0,-186679296.0,-1.64,0.9,1.57,1.24,9.72,0.31
9,93.996,9,-0.49,10.66,2.04,-11.1875,-37.5625,18.5625,-0.5011111111111111,0.043333333333333335,-0.25666666666666665,151.1875,7.125,-87.875,48005120.0,23363584.0,-184860672.0,-187170816.0,-1.72,0.94,1.68,1.22,9.72,0.35
10,107.085,13,-0.6,10.61,2.21,-13.0625,-39.5,15.25,-0.5766666666666667,0.057777777777777775,-0.23666666666666666,151.1875,7.0,-87.5625,48185344.0,23756800.0,-184270848.0,-187662336.0,-1.8,0.88,1.8,1.2,9.72,0.41
11,114.83500000000001,7,-0.76,10.56,2.44,-13.0625,-39.5,15.25,-0.6511111111111111,0.057777777777777775,-0.22111111111111112,151.3125,6.875,-87.1875,48119808.0,23855104.0,-183648256.0,-188268544.0,-1.94,0.84,1.97,1.18,9.72,0.47
12,124.566,9,-0.74,10.48,2.54,-13.0625,-39.5,15.25,-0.6977777777777778,0.051111111111111114,-0.2088888888888889,151.4375,6.75,-86.8125,48054272.0,23920640.0,-182976512.0,-188923904.0,-1.91,0.76,2.0,1.16,9.72,0.53
13,134.032,9,-0.71,10.37,2.74,-13.0625,-39.5,15.25,-0.7077777777777777,0.044444444444444446,-0.20666666666666667,151.5625,6.6875,-86.4375,47988736.0,23986176.0,-182321152.0,-189579264.0,-1.85,0.65,2.14,1.14,9.72,0.6
