,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
0,0.0,0,-1.92,8.73,3.84,14.5,-27.5625,-37.1875,-0.07777777777777778,-0.06111111111111111,0.09666666666666666,348.0,-8.8125,-66.375,223019008.0,142098432.0,39714816.0,23363584.0,-0.42,-0.14,-0.03,-1.5,8.87,3.88
1,17.953,17,-2.07,8.71,3.86,13.5,-27.5625,-38.75,-0.09666666666666666,-0.056666666666666664,0.11333333333333333,348.0625,-8.8125,-66.3125,223100928.0,142032896.0,39567360.0,23265280.0,-0.57,-0.16,-0.02,-1.5,8.87,3.88
2,26.228,8,-2.32,8.77,4.0,13.5,-27.5625,-38.75,-0.13111111111111112,-0.05,0.12777777777777777,348.0,-8.6875,-66.25,223199232.0,141918208.0,39403520.0,23396352.0,-0.83,-0.09,0.1,-1.49,8.87,3.9
3,35.346000000000004,9,-2.5,8.73,4.07,13.5,-27.5625,-38.75,-0.2088888888888889,-0.044444444444444446,0.13555555555555557,347.9375,-8.625,-66.125,223330304.0,141737984.0,39239680.0,23543808.0,-1.02,-0.12,0.15,-1.47,8.86,3.91
4,43.905,8,-2.69,8.66,4.14,13.5,-27.5625,-38.75,-0.3055555555555556,-0.05444444444444444,0.13555555555555557,347.875,-8.5625,-65.9375,223526912.0,141443072.0,39059456.0,23707648.0,-1.22,-0.18,0.2,-1.46,8.85,3.94
5,54.094,10,-2.92,8.67,4.18,13.5,-27.5625,-38.75,-0.39,-0.06888888888888889,0.13444444444444445,347.8125,-8.5,-65.75,223789056.0,141049856.0,38846464.0,23871488.0,-1.47,-0.16,0.2,-1.45,8.84,3.97
6,67.042,12,-3.41,8.69,4.26,10.875,-27.5625,-37.5625,-0.4711111111111111,-0.08777777777777777,0.14222222222222222,348.125,-8.375,-65.5,224198656.0,140738560.0,38092800.0,23216128.0,-1.97,-0.13,0.24,-1.43,8.82,4.02
7,75.514,8,-3.56,8.75,4.23,10.875,-27.5625,-37.5625,-0.5288888888888889,-0.10111111111111111,0.15666666666666668,348.0625,-8.25,-65.1875,224542720.0,140214272.0,37814272.0,23412736.0,-2.14,-0.05,0.16,-1.41,8.81,4.06
8,83.42399999999999,7,-3.64,8.89,4.15,10.875,-27.5625,-37.5625,-0.5488888888888889,-0.09666666666666666,0.18333333333333332,347.9375,-8.1875,-64.875,224903168.0,139673600.0,37519360.0,23642112.0,-2.25,0.1,0.04,-1.39,8.79,4.11
9,93.96400000000001,10,-3.72,9.09,3.97,10.875,-27.5625,-37.5625,-0.5211111111111111,-0.07777777777777778,0.2111111111111111,347.875,-8.0625,-64.625,225247232.0,139149312.0,37240832.0,23904256.0,-2.34,0.32,-0.18,-1.37,8.77,4.15
