trace,gesture end ms
wingardium000,1770
wingardium001,1880
wingardium002,1700
wingardium003,1840
wingardium004,2050
wingardium005,1860
wingardium006,1815
wingardium007,1875
wingardium008,2010
wingardium009,1580
wingardium010,1670
wingardium011,1705
wingardium012,1700
wingardium013,1840
wingardium014,2020
wingardium015,1800
wingardium016,1790
wingardium017,1800
wingardium018,1600
wingardium019,1775
wingardium020,1640
wingardium021,1600
wingardium022,1590
wingardium023,2822
wingardium024,1810
wingardium025,1630
wingardium026,1815
wingardium027,1700
wingardium028,1710
wingardium029,1700
wingardium030,1630
wingardium031,1810
wingardium032,1635
wingardium033,2100
wingardium034,1975
wingardium035,1660
wingardium036,2290
wingardium037,1860
wingardium038,1740
wingardium039,1870
wingardium040,1780
wingardium041,1520
wingardium042,1563
wingardium043,1405
wingardium044,1510
wingardium045,1505
wingardium046,1430
wingardium047,1650
wingardium048,1560
wingardium049,1702
wingardium050,1675
wingardium051,1654
wingardium052,1853
wingardium053,2088
wingardium054,1785
wingardium055,1770
wingardium056,1835
wingardium057,1855
wingardium058,2122
wingardium059,1800
wingardium060,1622
wingardium061,1870
wingardium062,1820
wingardium063,1800
wingardium064,1585
wingardium065,1950
wingardium066,1780
wingardium067,1915
wingardium068,1950
wingardium069,2100
wingardium070,1750
wingardium071,1830
wingardium072,1935
wingardium073,2075
wingardium074,1900
wingardium075,1840
wingardium076,1910
wingardium077,1900
wingardium078,2165
wingardium079,2040
wingardium080,1900
wingardium081,1920
wingardium082,1641
wingardium083,1680
wingardium084,2030
wingardium085,1750
wingardium086,1832
wingardium087,1870
wingardium088,1750
wingardium089,1840
wingardium090,1822
wingardium091,1860
wingardium092,1750
wingardium093,1770
wingardium094,1730
wingardium095,1730
wingardium096,1770
wingardium097,1890
wingardium098,1854
wingardium099,1780
flippendo000,1860
flippendo001,2060
flippendo002,2070
flippendo003,1990
flippendo004,2000
flippendo005,xxxxxx
flippendo006,2200
flippendo007,2530
flippendo008,2220
flippendo009,2220
flippendo010,2060
flippendo011,2075
flippendo012,1820
flippendo013,1930
flippendo014,1965
flippendo015,2330
flippendo016,1750
flippendo017,1750
flippendo018,1940
flippendo019,1888
flippendo020,1920
flippendo021,1910
flippendo022,1970
flippendo023,2000
flippendo024,1825
flippendo025,1800
flippendo026,1885
flippendo027,1950
flippendo028,1890
flippendo029,1895
flippendo030,2040
flippendo031,1921
flippendo032,1951
flippendo033,1610
flippendo034,1900
flippendo035,2000
flippendo036,1900
flippendo037,1775
flippendo038,1890
flippendo039,1890
flippendo040,2040
flippendo041,1865
flippendo042,1845
flippendo043,1835
flippendo044,1790
flippendo045,1811
flippendo046,1840
flippendo047,1910
flippendo048,1800
flippendo049,1900
flippendo050,1830
flippendo051,1785
flippendo052,1820
flippendo053,1860
flippendo054,1895
flippendo055,1760
flippendo056,1820
flippendo057,1960
flippendo058,1822
flippendo059,1820
flippendo060,1750
flippendo061,1750
flippendo062,1750
flippendo063,1725
flippendo064,1743
flippendo065,1785
flippendo066,1780
flippendo067,1943
flippendo068,1730
flippendo069,1830
flippendo070,1900
flippendo071,1760
flippendo072,1930
flippendo073,1770
flippendo074,2030
flippendo075,1920
flippendo076,1905
flippendo077,1877
flippendo078,1915
flippendo079,1695
flippendo080,1830
flippendo081,1855
flippendo082,1765
flippendo083,1905
flippendo084,1886
flippendo085,1730
flippendo086,1790
flippendo087,1910
flippendo088,1845
flippendo089,1530
flippendo090,1800
flippendo091,2100
flippendo092,2070
flippendo093,1905
flippendo094,1700
flippendo095,1720
flippendo096,1895
flippendo097,1940
flippendo098,1760
flippendo099,1855
