0,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
1,0,0,-8.93,2.3,-0.49,32.5625,-31.75,4.875,0.5722222222222222,-0.28555555555555556,0.18888888888888888,168.125,-73.625,-97.875,19202048.0,190365696.0,-34439168.0,-185106432.0,0.47,-0.42,-0.11,-9.41,2.72,-0.37
2,9.155999999999999,9,-8.91,2.29,-0.49,32.5625,-31.75,4.875,0.5844444444444444,-0.2733333333333333,0.22,168.375,-73.5625,-97.6875,18776064.0,190169088.0,-35143680.0,-185221120.0,0.49,-0.44,-0.12,-9.4,2.74,-0.37
3,17.945,8,-8.99,2.45,-0.43,32.5625,-31.75,4.875,0.5922222222222222,-0.26666666666666666,0.24888888888888888,168.625,-73.4375,-97.5,18399232.0,189956096.0,-35897344.0,-185335808.0,0.4,-0.3,-0.06,-9.4,2.76,-0.36
4,27.596,9,-9.04,2.57,-0.44,34.5,-32.0625,4.5,0.6111111111111112,-0.2633333333333333,0.2866666666666667,168.875,-73.3125,-97.3125,18038784.0,189743104.0,-36700160.0,-185434112.0,0.35,-0.2,-0.08,-9.39,2.78,-0.35
5,36.56,8,-9.1,2.67,-0.45,34.5,-32.0625,4.5,0.6244444444444445,-0.2633333333333333,0.32555555555555554,169.0625,-73.1875,-97.125,17711104.0,189497344.0,-37568512.0,-185532416.0,0.28,-0.13,-0.09,-9.38,2.81,-0.35
6,46.822,10,-9.18,2.89,-0.39,34.5,-32.0625,4.5,0.6011111111111112,-0.26222222222222225,0.36,169.25,-73.0,-96.875,17432576.0,189251584.0,-38453248.0,-185630720.0,0.19,0.05,-0.05,-9.37,2.84,-0.34
7,55.678,8,-9.26,2.9,-0.39,34.5,-32.0625,4.5,0.5422222222222223,-0.2677777777777778,0.3888888888888889,169.375,-72.8125,-96.625,17252352.0,188989440.0,-39288832.0,-185745408.0,0.1,0.02,-0.06,-9.37,2.87,-0.33
8,64.929,9,-9.3,2.79,-0.45,34.5,-32.0625,4.5,0.48,-0.2788888888888889,0.40555555555555556,169.4375,-72.625,-96.3125,17121280.0,188710912.0,-40108032.0,-185860096.0,0.05,-0.11,-0.13,-9.35,2.9,-0.32
9,76.68700000000001,11,-9.36,2.66,-0.55,33.6875,-32.5,6.5,0.4688888888888889,-0.31666666666666665,0.41888888888888887,169.5,-72.375,-95.9375,17006592.0,188383232.0,-40927232.0,-186023936.0,-0.01,-0.27,-0.24,-9.34,2.94,-0.3
10,85.43199999999999,8,-9.36,2.56,-0.79,33.6875,-32.5,6.5,0.52,-0.36777777777777776,0.43666666666666665,169.625,-72.1875,-95.5625,16859136.0,188006400.0,-41811968.0,-186220544.0,-0.02,-0.41,-0.5,-9.33,2.98,-0.29
11,94.753,9,-9.32,2.53,-0.86,33.6875,-32.5,6.5,0.5855555555555556,-0.43,0.47333333333333333,169.75,-71.9375,-95.0625,16662528.0,187580416.0,-42778624.0,-186449920.0,0.0,-0.48,-0.59,-9.32,3.02,-0.26
12,105.41799999999999,10,-9.3,2.51,-0.86,33.6875,-32.5,6.5,0.6466666666666666,-0.48777777777777775,0.5244444444444445,169.875,-71.6875,-94.5,16449536.0,187088896.0,-43859968.0,-186712064.0,0.0,-0.55,-0.61,-9.31,3.06,-0.24
13,114.448,9,-9.26,2.7,-0.84,33.6875,-32.5,6.5,0.6988888888888889,-0.5466666666666666,0.6011111111111112,170.0625,-71.375,-93.9375,16252928.0,186531840.0,-45056000.0,-186990592.0,0.02,-0.41,-0.63,-9.29,3.11,-0.21
14,126.32199999999999,11,-9.25,2.7,-0.79,31.875,-32.875,6.0,0.72,-0.6011111111111112,0.7077777777777777,170.125,-71.0,-93.3125,16121856.0,185892864.0,-46366720.0,-187318272.0,0.02,-0.47,-0.6,-9.27,3.17,-0.18
15,133.768,7,-9.19,2.65,-0.75,31.875,-32.875,6.0,0.6933333333333334,-0.6455555555555555,0.83,170.1875,-70.5625,-92.625,16105472.0,185188352.0,-47775744.0,-187662336.0,0.05,-0.59,-0.6,-9.25,3.25,-0.14
16,145.238,11,-9.09,2.69,-0.81,31.875,-32.875,6.0,0.6422222222222222,-0.6833333333333333,0.9588888888888889,170.1875,-70.125,-92.0625,16121856.0,184549376.0,-49168384.0,-187940864.0,0.12,-0.62,-0.69,-9.22,3.32,-0.12
17,156.075,10,-9.06,2.67,-0.91,31.875,-32.875,6.0,0.57,-0.71,1.0955555555555556,170.0625,-69.625,-91.5,16318464.0,183844864.0,-50626560.0,-188219392.0,0.12,-0.73,-0.82,-9.19,3.4,-0.09
18,165.489,9,-8.96,2.73,-1.02,31.875,-32.875,6.0,0.5088888888888888,-0.7266666666666667,1.2322222222222223,169.875,-69.0,-90.9375,16662528.0,183107584.0,-52133888.0,-188514304.0,0.18,-0.76,-0.97,-9.15,3.5,-0.05
19,177.096,11,-9.02,2.81,-1.13,29.1875,-32.875,6.75,0.46111111111111114,-0.7266666666666667,1.37,169.5625,-68.3125,-90.375,17203200.0,182304768.0,-53739520.0,-188776448.0,0.09,-0.79,-1.1,-9.11,3.61,-0.02
20,184.635,7,-9.16,3.02,-1.34,29.1875,-32.875,6.75,0.43777777777777777,-0.7,1.5055555555555555,169.125,-67.5,-89.6875,17989632.0,181321728.0,-55492608.0,-189153280.0,-0.09,-0.72,-1.36,-9.06,3.74,0.01
21,194.143,9,-9.18,3.27,-1.34,29.1875,-32.875,6.75,0.4622222222222222,-0.6577777777777778,1.6333333333333333,168.5625,-66.625,-89.0625,18874368.0,180338688.0,-57360384.0,-189448192.0,-0.18,-0.61,-1.4,-9.0,3.88,0.05
22,204.50799999999998,10,-9.28,3.73,-1.27,29.1875,-32.875,6.75,0.5944444444444444,-0.63,1.7477777777777779,168.0625,-65.6875,-88.6875,19775488.0,179339264.0,-59457536.0,-189661184.0,-0.34,-0.29,-1.36,-8.93,4.03,0.09
23,214.502,9,-9.33,4.02,-1.19,29.1875,-32.875,6.75,0.7544444444444445,-0.6122222222222222,1.8222222222222222,167.5625,-64.6875,-88.4375,20594688.0,178323456.0,-61734912.0,-189792256.0,-0.47,-0.16,-1.3,-8.86,4.18,0.11
24,226.465,11,-9.21,4.18,-0.9,27.25,-35.5625,7.1875,0.8677777777777778,-0.6155555555555555,1.8344444444444445,167.125,-63.6875,-88.25,21331968.0,177307648.0,-64143360.0,-189874176.0,-0.42,-0.15,-1.03,-8.79,4.34,0.12
25,233.87199999999999,7,-9.15,4.37,-0.83,27.25,-35.5625,7.1875,0.9855555555555555,-0.6433333333333333,1.79,166.8125,-62.6875,-88.1875,21921792.0,176275456.0,-66600960.0,-189923328.0,-0.44,-0.12,-0.97,-8.71,4.49,0.14
26,244.258,10,-9.15,4.79,-0.8,27.25,-35.5625,7.1875,1.0822222222222222,-0.6811111111111111,1.7155555555555555,166.5625,-61.75,-88.125,22347776.0,175226880.0,-69074944.0,-189956096.0,-0.51,0.15,-0.96,-8.63,4.63,0.15
27,254.6,10,-9.2,5.69,-0.82,27.25,-35.5625,7.1875,1.1066666666666667,-0.6966666666666667,1.6466666666666667,166.375,-60.8125,-88.0625,22675456.0,174161920.0,-71516160.0,-189988864.0,-0.64,0.91,-0.98,-8.56,4.77,0.15
28,264.503,9,-9.37,6.13,-0.75,27.25,-35.5625,7.1875,1.0733333333333333,-0.6788888888888889,1.5933333333333333,166.1875,-59.9375,-88.0625,23003136.0,173113344.0,-73875456.0,-190005248.0,-0.88,1.23,-0.91,-8.49,4.9,0.16
29,276.423,11,-9.39,6.35,-0.66,25.5,-37.5625,8.25,1.0466666666666666,-0.66,1.5322222222222222,166.0,-59.125,-88.0625,23281664.0,172081152.0,-76152832.0,-190005248.0,-0.97,1.32,-0.83,-8.41,5.02,0.16
30,283.875,7,-9.35,6.31,-0.57,25.5,-37.5625,8.25,1.09,-0.6577777777777778,1.4322222222222223,165.875,-58.3125,-88.125,23445504.0,171081728.0,-78381056.0,-189988864.0,-1.0,1.17,-0.74,-8.34,5.14,0.16
31,294.695,10,-9.12,6.56,-0.51,25.5,-37.5625,8.25,1.2277777777777779,-0.6788888888888889,1.2833333333333334,165.9375,-57.625,-88.1875,23363584.0,170131456.0,-80609280.0,-189923328.0,-0.84,1.31,-0.67,-8.28,5.24,0.16
32,304.577,9,-9.05,6.79,-0.46,25.5,-37.5625,8.25,1.3377777777777777,-0.6866666666666666,1.0977777777777777,166.125,-57.0,-88.375,23003136.0,169230336.0,-82771968.0,-189841408.0,-0.82,1.46,-0.61,-8.22,5.33,0.14
33,314.593,10,-9.0,6.94,-0.31,25.5,-37.5625,8.25,1.3666666666666667,-0.6733333333333333,0.9055555555555556,166.5,-56.5,-88.625,22446080.0,168411136.0,-84803584.0,-189743104.0,-0.82,1.53,-0.44,-8.17,5.4,0.12
34,326.426,11,-8.82,7.16,-0.27,22.375,-38.0625,8.25,1.3866666666666667,-0.6422222222222222,0.7177777777777777,166.875,-56.0625,-88.8125,21725184.0,167673856.0,-86704128.0,-189612032.0,-0.68,1.7,-0.38,-8.14,5.46,0.1
35,333.845,7,-8.76,7.13,-0.32,22.375,-38.0625,8.25,1.3811111111111112,-0.5822222222222222,0.5333333333333333,167.375,-55.8125,-89.125,20873216.0,167067648.0,-88424448.0,-189448192.0,-0.65,1.63,-0.4,-8.11,5.5,0.08
36,344.27799999999996,10,-8.7,7.06,-0.29,22.375,-38.0625,8.25,1.3477777777777777,-0.5066666666666667,0.3411111111111111,167.9375,-55.625,-89.4375,19890176.0,166608896.0,-89964544.0,-189251584.0,-0.61,1.52,-0.34,-8.09,5.53,0.04
37,354.611,10,-8.75,6.96,-0.29,22.375,-38.0625,8.25,1.3388888888888888,-0.4255555555555556,0.13,168.625,-55.5,-89.875,18776064.0,166281216.0,-91308032.0,-188989440.0,-0.66,1.42,-0.3,-8.08,5.54,0.01
38,364.665,10,-8.66,6.32,-0.26,22.375,-38.0625,8.25,1.3288888888888888,-0.36333333333333334,-0.12,169.375,-55.5625,-90.3125,17448960.0,166133760.0,-92438528.0,-188710912.0,-0.57,0.78,-0.23,-8.09,5.53,-0.03
39,376.747,12,-8.59,5.94,-0.41,20.375,-38.5,10.25,1.3344444444444445,-0.33555555555555555,-0.41888888888888887,170.3125,-55.8125,-90.75,15876096.0,166117376.0,-93323264.0,-188416000.0,-0.47,0.44,-0.33,-8.11,5.5,-0.07
40,384.19599999999997,7,-8.57,5.64,-0.66,20.375,-38.5,10.25,1.3844444444444444,-0.34444444444444444,-0.7311111111111112,171.5,-56.25,-91.25,13975552.0,166232064.0,-94011392.0,-188121088.0,-0.42,0.19,-0.54,-8.15,5.44,-0.12
