,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
0,0.0,0,-8.12,-2.74,4.43,24.5,31.5,-20.0,0.16111111111111112,-0.18777777777777777,-0.13333333333333333,32.9375,-55.0,36.0,220168192.0,-14254080.0,138330112.0,-65175552.0,-0.09,0.56,-0.11,-8.03,-3.3,4.54
1,16.166,16,-8.26,-2.6,4.46,24.5,31.5,-20.0,0.14888888888888888,-0.22333333333333333,-0.16777777777777778,33.0625,-54.875,35.9375,220266496.0,-14286848.0,138035200.0,-65437696.0,-0.24,0.7,-0.1,-8.02,-3.31,4.56
2,28.794,12,-8.46,-2.56,4.58,24.875,31.875,-21.25,0.12222222222222222,-0.2733333333333333,-0.21888888888888888,33.125,-54.6875,35.875,220430336.0,-14483456.0,137674752.0,-65568768.0,-0.46,0.75,0.0,-8.0,-3.32,4.58
3,36.312999999999995,7,-8.91,-2.22,4.99,24.875,31.875,-21.25,0.08777777777777777,-0.33555555555555555,-0.2811111111111111,33.25,-54.4375,35.875,220577792.0,-14680064.0,137281536.0,-65896448.0,-0.93,1.12,0.37,-7.97,-3.34,4.61
4,45.678000000000004,9,-9.01,-1.92,5.19,24.875,31.875,-21.25,-0.02,-0.4088888888888889,-0.36333333333333334,33.375,-54.125,35.9375,220725248.0,-15056896.0,136839168.0,-66240512.0,-1.06,1.44,0.54,-7.94,-3.37,4.64
5,56.14,10,-9.22,-1.69,5.18,24.875,31.875,-21.25,-0.2,-0.4711111111111111,-0.45111111111111113,33.5,-53.75,36.125,220872704.0,-15712256.0,136364032.0,-66551808.0,-1.31,1.71,0.51,-7.91,-3.41,4.67
6,66.146,10,-9.57,-1.49,5.25,24.875,31.875,-21.25,-0.31555555555555553,-0.5511111111111111,-0.5366666666666666,33.625,-53.375,36.375,221036544.0,-16564224.0,135856128.0,-66863104.0,-1.69,1.97,0.54,-7.87,-3.46,4.7
7,78.861,12,-10.11,-0.85,5.61,23.0,33.0,-22.0625,-0.3411111111111111,-0.6344444444444445,-0.6144444444444445,33.75,-52.875,36.625,221233152.0,-17547264.0,135233536.0,-67207168.0,-2.29,2.67,0.86,-7.82,-3.53,4.74
8,86.31800000000001,7,-10.38,-0.69,5.69,23.0,33.0,-22.0625,-0.39666666666666667,-0.6955555555555556,-0.6655555555555556,33.9375,-52.375,36.9375,221429760.0,-18612224.0,134578176.0,-67600384.0,-2.61,2.89,0.9,-7.76,-3.59,4.78
9,96.145,9,-10.77,-0.64,5.87,23.0,33.0,-22.0625,-0.46111111111111114,-0.7333333333333333,-0.69,34.0625,-51.8125,37.25,221626368.0,-19775488.0,133890048.0,-67960832.0,-3.06,3.02,1.05,-7.71,-3.66,4.82
